Study_Id, Kinect_Config, Scenario_Id, Tracker_Time, Person_Id, Skeleton_Id, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect_Id, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
23,1,4,6.35624E+13,0,0,76686298873,-0.785413733,2.130893, 138.251.207.136,0,100,0.6225653,-0.8954563,2.224458,0.7779871,-0.8815567,2.084679,0.4971765,0.1117135,2.332502,0.8218882,0.1621383,2.023159,0.5519364,-0.9643587,2.161334,0.6998431,-0.9399393,2.008786,0.4472912,-0.1691185,2.233996,0.7349092,-0.1634179,1.938502,0.4471391,-0.2388347,2.200102,0.7203137,-0.2337522,1.911388,0.6075602,0.6905257,2.155964,0.5592822,-0.1068426,2.18347,0.6625165,-0.0986625,2.099798,0.6014717,-0.5598965,2.214969,0.7355754,-0.5472314,2.061077,0.6553466,0.5406325,2.15395,0.5123539,0.4073715,2.296704,0.7608879,0.3997803,2.046045,0.6214757,-0.1045275,2.179051,0.6405135,0.2240458,2.173017,0.6523734,0.4631173,2.160974,0.4080932,-0.1679581,2.244869,0.6971233,-0.1363597,1.959355,0.4542955,-0.1074538,2.268419,0.7672467,-0.08160893,1.95177
23,1,4,6.35624E+13,0,1,2.31219E+12,-0.067004823,2.605359, 138.251.213.82,0,100,0.5933354,-0.8859915,2.236631,0.7296389,-0.8850001,2.089179,0.5033346,0.1471933,2.323585,0.8152193,0.1268746,2.028459,0.514201,-0.9302353,2.166761,0.6457403,-0.93866,2.010038,0.4441956,-0.1541053,2.23883,0.7316165,-0.166407,1.955387,0.4243152,-0.2170745,2.212026,0.7236646,-0.2246221,1.920963,0.6542772,0.6938413,2.128989,0.5792629,-0.1139762,2.191876,0.690634,-0.1137916,2.073868,0.5783069,-0.5597044,2.226845,0.7188419,-0.5500727,2.080731,0.6594798,0.5392247,2.168113,0.5357491,0.4155246,2.289954,0.7829356,0.3989265,2.033572,0.6666887,-0.1158898,2.156596,0.6685556,0.2166668,2.166428,0.6637179,0.4599589,2.169161,0.404861,-0.1603982,2.270528,0.721948,-0.1743614,1.8979,0.446934,-0.08882571,2.265202,0.7551426,-0.113884,1.959213
23,1,4,6.35624E+13,1,0,76686298873,-0.700628722,2.589688, 138.251.207.136,0,100,0.009347588,-0.9096751,2.661078,0.136166,-0.906921,2.575128,-0.1593967,0.1516096,2.794853,0.2304989,0.169121,2.526425,-0.03791049,-0.9622435,2.588147,0.09833337,-0.9531236,2.48363,-0.1911451,-0.1425864,2.688724,0.1902941,-0.1482908,2.402783,-0.2117206,-0.1998648,2.671968,0.1776189,-0.2103794,2.391043,0.002227198,0.7230996,2.619513,-0.07193253,-0.1394505,2.628803,0.05496382,-0.128281,2.555081,-0.03400031,-0.5714351,2.660266,0.1223708,-0.5507649,2.539335,0.03261949,0.5656554,2.607643,-0.1234086,0.4261427,2.76077,0.1485434,0.4128507,2.538568,-0.008644933,-0.1360631,2.634111,0.01234911,0.2206171,2.62799,0.02764325,0.4810249,2.615304,-0.1557239,-0.1401816,2.662234,0.1540831,-0.1345906,2.375143,-0.18623,-0.07608452,2.717674,0.2094097,-0.08082734,2.418912
23,1,4,6.35624E+13,1,1,2.31219E+12,0.126393449,2.489137, 138.251.213.82,0,100,-0.01632435,-0.9102755,2.673805,0.09993499,-0.9087471,2.579677,-0.1219789,0.172888,2.78059,0.2293741,0.1472986,2.510217,-0.08693767,-0.9594959,2.614348,0.05142615,-0.9619048,2.508825,-0.1862049,-0.1599819,2.693612,0.1661898,-0.1484942,2.41276,-0.1944086,-0.2402448,2.678991,0.1601582,-0.2348689,2.390867,0.05528196,0.7266161,2.597658,-0.03857033,-0.1101321,2.63479,0.08008301,-0.1095077,2.536872,-0.05827784,-0.5499206,2.661838,0.09977604,-0.5480475,2.537882,0.02986538,0.5626875,2.622321,-0.08722751,0.4230216,2.728717,0.1629986,0.4129109,2.516798,0.0483388,-0.1115936,2.61549,0.04377514,0.2312961,2.62415,0.03500673,0.4814196,2.624629,-0.1613328,-0.141413,2.640696,0.1104675,-0.1426608,2.425904,-0.1921516,-0.08304495,2.713044,0.191246,-0.08166661,2.419234
23,1,4,6.35624E+13,0,0,76686629488,-0.785413733,2.130893, 138.251.207.136,0,100,0.6225874,-0.8957831,2.224731,0.7778381,-0.8815197,2.084203,0.4971652,0.1118032,2.332481,0.8218869,0.1618125,2.02301,0.5522912,-0.9647953,2.161233,0.6997975,-0.9401096,2.008505,0.4452553,-0.1686266,2.231825,0.7333928,-0.1632677,1.935858,0.4487949,-0.241189,2.200596,0.7194362,-0.2338623,1.908387,0.6075693,0.6905136,2.155989,0.5592911,-0.1068609,2.183423,0.6625681,-0.0986696,2.099717,0.6014925,-0.5602005,2.214999,0.7356829,-0.5460929,2.060585,0.6553051,0.5406049,2.154073,0.5125366,0.4078106,2.295953,0.7609119,0.3997481,2.046034,0.6215061,-0.1045424,2.178988,0.640515,0.2240401,2.173021,0.6523509,0.4630964,2.161049,0.3985117,-0.2005044,2.211286,0.6962885,-0.1462256,1.956533,0.4543118,-0.1073812,2.268439,0.7672926,-0.08169544,1.95161
23,1,4,6.35624E+13,0,1,2.31219E+12,-0.067004823,2.605359, 138.251.213.82,0,100,0.5929034,-0.8857419,2.236184,0.729456,-0.8847219,2.088783,0.5026694,0.1497217,2.323084,0.8141177,0.1274314,2.027784,0.51359,-0.9299328,2.166467,0.6448837,-0.938002,2.009303,0.437887,-0.151616,2.233486,0.722243,-0.1670007,1.947665,0.4193577,-0.2182456,2.208041,0.7004334,-0.2327056,1.917156,0.6531085,0.6937348,2.127772,0.5788945,-0.1140972,2.191642,0.6892682,-0.1137381,2.072795,0.5771292,-0.55825,2.22571,0.7180563,-0.5493708,2.080007,0.6583374,0.5393503,2.167037,0.5355855,0.415593,2.289885,0.7817648,0.3984447,2.032402,0.6658956,-0.115955,2.156013,0.6676069,0.2166895,2.165649,0.662626,0.4600582,2.168171,0.3984603,-0.1675148,2.265605,0.698561,-0.1944973,1.879381,0.4464134,-0.08858057,2.264736,0.7543466,-0.1129341,1.958463
23,1,4,6.35624E+13,1,0,76686629488,-0.700628722,2.589688, 138.251.207.136,0,100,0.009455068,-0.9096164,2.660872,0.1363772,-0.9066113,2.57482,-0.1593886,0.1516468,2.794776,0.2305507,0.1686678,2.526316,-0.0371135,-0.9619733,2.590114,0.09836189,-0.9530307,2.484073,-0.1915585,-0.1418269,2.686454,0.190072,-0.1476437,2.399395,-0.2088275,-0.1982887,2.66885,0.1788586,-0.2106774,2.388774,0.002088645,0.723123,2.619504,-0.07193934,-0.1394113,2.6288,0.05495647,-0.1282515,2.555073,-0.03399425,-0.5716999,2.660322,0.1215139,-0.5436168,2.539572,0.03248551,0.5655798,2.607658,-0.123412,0.426423,2.760726,0.1484846,0.4129114,2.538517,-0.008652633,-0.1360277,2.634105,0.01231028,0.2206193,2.628,0.02754073,0.4809777,2.615319,-0.1566703,-0.1354454,2.663146,0.1536132,-0.1339901,2.373554,-0.1862193,-0.07606364,2.717699,0.2094151,-0.08086831,2.419071
23,1,4,6.35624E+13,1,1,2.31219E+12,0.126393449,2.489137, 138.251.213.82,0,100,-0.01764752,-0.9098318,2.672815,0.09943943,-0.9081686,2.578439,-0.1224036,0.1731807,2.780085,0.2285882,0.1477302,2.509798,-0.08731893,-0.9592842,2.613424,0.04850086,-0.963686,2.504566,-0.1895653,-0.1605272,2.689254,0.1593951,-0.1452984,2.405074,-0.1928283,-0.242303,2.677199,0.1457466,-0.2272817,2.372413,0.05475789,0.7262949,2.59682,-0.03904479,-0.1101024,2.634334,0.0794766,-0.1095775,2.536319,-0.05836137,-0.5499465,2.661701,0.09944449,-0.5482487,2.537783,0.02921814,0.5623339,2.621688,-0.08738811,0.423102,2.728683,0.1622811,0.4128651,2.516057,0.04779868,-0.1116107,2.614986,0.0431976,0.2311259,2.623601,0.03437886,0.4811159,2.624021,-0.1628339,-0.1442486,2.639145,0.1037432,-0.1412247,2.419423,-0.1924733,-0.08357939,2.712362,0.1892795,-0.0840843,2.416276
23,1,4,6.35624E+13,0,0,76686968961,-0.785413733,2.130893, 138.251.207.136,0,100,0.6228533,-0.8957623,2.224956,0.778079,-0.8818541,2.084349,0.4974072,0.1120962,2.333143,0.8222927,0.1623201,2.023735,0.5535064,-0.9655257,2.161619,0.6996476,-0.9405584,2.009459,0.4474033,-0.1696344,2.236477,0.7352192,-0.1641903,1.939074,0.443862,-0.2357214,2.20492,0.7194735,-0.2341022,1.911322,0.6077657,0.6906286,2.156352,0.559462,-0.1070561,2.184016,0.6627053,-0.0987185,2.099899,0.6016958,-0.5602833,2.215171,0.7356851,-0.5463312,2.060856,0.6554653,0.5406958,2.154467,0.5124996,0.4075809,2.296474,0.7611597,0.3997381,2.046346,0.6216705,-0.1046552,2.179341,0.6406862,0.2240242,2.173385,0.6525148,0.4631604,2.161436,0.4088854,-0.1696682,2.250417,0.6986508,-0.1366846,1.960564,0.4546429,-0.1071527,2.269298,0.767423,-0.08177036,1.951876
23,1,4,6.35624E+13,0,1,2.31219E+12,-0.067004823,2.605359, 138.251.213.82,0,100,0.5948706,-0.882699,2.237808,0.7298032,-0.8850545,2.089575,0.5032533,0.1479582,2.323931,0.8151294,0.1273498,2.028467,0.51811,-0.9271188,2.170926,0.6462777,-0.9376568,2.00994,0.4436426,-0.1542851,2.238872,0.733704,-0.169394,1.957077,0.4270983,-0.2167881,2.215655,0.7210423,-0.22843,1.924003,0.6539893,0.6942862,2.128527,0.579654,-0.1135812,2.192018,0.6905186,-0.1131696,2.073568,0.577728,-0.5568543,2.226554,0.7185146,-0.5490125,2.080221,0.6593616,0.5394372,2.168024,0.5357875,0.4155596,2.290031,0.783619,0.3988371,2.033737,0.6668504,-0.1153988,2.156542,0.6685664,0.2170112,2.166397,0.6636279,0.4602056,2.169096,0.4007604,-0.1631396,2.26747,0.7233384,-0.1903712,1.892368,0.4467588,-0.08862339,2.265043,0.7553784,-0.1143619,1.959222
23,1,4,6.35624E+13,1,0,76686968961,-0.700628722,2.589688, 138.251.207.136,0,100,0.008921291,-0.9085265,2.662196,0.1365583,-0.9064443,2.574758,-0.1596724,0.1519791,2.795233,0.2305753,0.1689144,2.526832,-0.03709242,-0.9620181,2.590005,0.09834127,-0.9527211,2.484886,-0.191472,-0.142244,2.685208,0.1902191,-0.1465717,2.403748,-0.2109916,-0.2000237,2.668802,0.1802268,-0.2039934,2.389339,0.001973042,0.7229987,2.619554,-0.07199396,-0.1393566,2.629026,0.05501907,-0.1281909,2.555293,-0.0340383,-0.5710698,2.660187,0.1215236,-0.544644,2.539902,0.03228648,0.565284,2.607856,-0.1235428,0.4263567,2.760562,0.1484671,0.4129921,2.53869,-0.008649556,-0.1359694,2.634323,0.01223104,0.2205391,2.628207,0.02737902,0.4807493,2.61552,-0.1570632,-0.1347275,2.661141,0.1551181,-0.1362145,2.379375,-0.1862168,-0.07582308,2.717933,0.2094827,-0.08033464,2.420042
