Study_Id, Kinect_Config, Scenario_Id, Tracker_Time, Person_Id, Skeleton_Id, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect_Id, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
7, 1, 1, 63562201722741, 0, 0, 601387195602, -0.0924162033596691, 2.398744, 138.251.213.82, 0, 100, 0.2984655, -0.9467486, 2.435756, 0.5087894, -0.9402612, 2.439848, 0.1904455, 0.08074893, 2.468647, 0.6214871, 0.07465224, 2.444902, 0.2873665, -0.9976794, 2.360512, 0.5189504, -0.997133, 2.368187, 0.2063846, -0.237246, 2.340594, 0.5961317, -0.2134203, 2.319336, 0.2152409, -0.3100703, 2.319174, 0.5966611, -0.2917095, 2.291492, 0.431727, 0.6199494, 2.458323, 0.3361284, -0.1781067, 2.417443, 0.4964281, -0.1801658, 2.402527, 0.3026173, -0.5934077, 2.417497, 0.5083331, -0.6026678, 2.41819, 0.4025138, 0.4547413, 2.481119, 0.231942, 0.3297958, 2.484561, 0.5895889, 0.3238486, 2.451222, 0.4228746, -0.182018, 2.448403, 0.4136017, 0.141518, 2.471591, 0.4056362, 0.377831, 2.481192, 0.1580597, -0.2482883, 2.343904, 0.5430247, -0.2095845, 2.307566, 0.1916288, -0.1531273, 2.371399, 0.6088581, -0.1567477, 2.342237
7, 1, 1, 63562201722741, 0, 1, 264803780127, -0.75161963098508, 2.096341, 138.251.207.136, 0, 100, 0.361556, -0.9610788, 2.478148, 0.5562356, -0.9509269, 2.462931, 0.175951, 0.08639486, 2.465186, 0.6223814, 0.1066536, 2.436055, 0.3454176, -1.038646, 2.405695, 0.5749691, -1.025432, 2.37359, 0.2000417, -0.2299104, 2.356386, 0.6001253, -0.2023447, 2.298658, 0.2103161, -0.2971262, 2.334658, 0.5898941, -0.2707897, 2.266689, 0.34226, 0.6149583, 2.431076, 0.3218412, -0.2023977, 2.400478, 0.4617529, -0.1935035, 2.408821, 0.3393441, -0.6168303, 2.454882, 0.5460943, -0.6097035, 2.432692, 0.3849061, 0.4598255, 2.461759, 0.1921692, 0.3252116, 2.473157, 0.547861, 0.3303812, 2.440108, 0.3724686, -0.2011137, 2.438514, 0.3754265, 0.1355965, 2.45645, 0.3813777, 0.3804665, 2.462575, 0.1829106, -0.2953711, 2.31999, 0.6355383, -0.2623543, 2.281273, 0.1879022, -0.1414636, 2.390548, 0.6128245, -0.1142943, 2.339645
7, 1, 1, 63562201722779, 0, 0, 601387524698, -0.0924162033596691, 2.398744, 138.251.213.82, 0, 100, 0.2984276, -0.9466446, 2.435647, 0.5088334, -0.9399241, 2.44017, 0.1905233, 0.08070619, 2.468844, 0.6215389, 0.07473965, 2.445122, 0.2877026, -0.997672, 2.360497, 0.5189249, -0.9971171, 2.368159, 0.2066323, -0.2360076, 2.340631, 0.5956021, -0.2311029, 2.316381, 0.2138553, -0.3069442, 2.315343, 0.5911026, -0.2984936, 2.295146, 0.431749, 0.6199726, 2.458378, 0.3362484, -0.1779963, 2.417295, 0.4966853, -0.1800349, 2.402443, 0.3026233, -0.5933381, 2.417524, 0.5083876, -0.6024939, 2.41827, 0.4026006, 0.4547272, 2.481138, 0.2319426, 0.3297632, 2.484554, 0.5895806, 0.3239232, 2.451358, 0.4230611, -0.1818981, 2.448293, 0.413723, 0.1415522, 2.471566, 0.405728, 0.3778273, 2.4812, 0.1573998, -0.2505687, 2.342785, 0.544508, -0.2081458, 2.309372, 0.1917135, -0.153125, 2.371475, 0.6107566, -0.1568042, 2.342638
7, 1, 1, 63562201722779, 0, 1, 264804110140, -0.75161963098508, 2.096341, 138.251.207.136, 0, 100, 0.3615777, -0.9610592, 2.478112, 0.556399, -0.9506544, 2.463091, 0.1761122, 0.08609135, 2.464921, 0.6223915, 0.1066294, 2.436048, 0.3453034, -1.038378, 2.405213, 0.5752552, -1.024724, 2.37307, 0.2002719, -0.2297605, 2.354117, 0.5998384, -0.2015117, 2.29807, 0.2111522, -0.2969612, 2.331643, 0.5912882, -0.2703905, 2.263902, 0.3422192, 0.6149271, 2.430938, 0.321929, -0.2024752, 2.40038, 0.4617692, -0.1935197, 2.40881, 0.3393655, -0.6167535, 2.454743, 0.5456068, -0.6094384, 2.432649, 0.384953, 0.4597605, 2.461637, 0.1922417, 0.3249139, 2.472808, 0.5478545, 0.3304048, 2.440106, 0.3725094, -0.2011538, 2.438473, 0.3754664, 0.1355458, 2.456375, 0.3814236, 0.3804042, 2.462465, 0.1877702, -0.2599455, 2.311828, 0.6375167, -0.2182941, 2.275427, 0.1880842, -0.1417342, 2.390173, 0.6128902, -0.1143307, 2.33966
7, 1, 1, 63562201722814, 0, 0, 601387854731, -0.0924162033596691, 2.398744, 138.251.213.82, 0, 100, 0.2989259, -0.9469917, 2.435656, 0.5088269, -0.9396989, 2.439665, 0.1905268, 0.08068301, 2.468796, 0.6214076, 0.07471777, 2.444937, 0.2874183, -0.997552, 2.359894, 0.5184794, -0.9970613, 2.367854, 0.2067375, -0.2366524, 2.340482, 0.5951709, -0.2301161, 2.315222, 0.2135552, -0.3085895, 2.314813, 0.5929497, -0.2970353, 2.292438, 0.4317358, 0.6199425, 2.458257, 0.3363219, -0.1779896, 2.417203, 0.4969175, -0.1800615, 2.402, 0.3027096, -0.593327, 2.417465, 0.5083678, -0.6024613, 2.418248, 0.4026003, 0.454706, 2.480896, 0.231938, 0.3297408, 2.484451, 0.5895594, 0.3239243, 2.451303, 0.423209, -0.1819015, 2.448068, 0.4137958, 0.1415414, 2.471347, 0.4057468, 0.3778088, 2.480963, 0.1591307, -0.2570702, 2.343128, 0.5450772, -0.2140836, 2.306615, 0.1921048, -0.1531321, 2.371393, 0.6109118, -0.156763, 2.342269
7, 1, 1, 63562201722814, 0, 1, 264804450836, -0.75161963098508, 2.096341, 138.251.207.136, 0, 100, 0.3616531, -0.9609053, 2.478072, 0.556425, -0.9508336, 2.46313, 0.176244, 0.08609425, 2.464779, 0.6223291, 0.1066803, 2.436162, 0.3462592, -1.038455, 2.404974, 0.5748346, -1.025135, 2.373434, 0.1998981, -0.2299641, 2.356434, 0.5999113, -0.2019109, 2.298475, 0.2120248, -0.2972196, 2.331629, 0.5925461, -0.2707443, 2.268113, 0.3422174, 0.6149825, 2.430851, 0.3220164, -0.2024413, 2.400387, 0.4617781, -0.1934936, 2.408834, 0.3394306, -0.6167625, 2.454684, 0.5448472, -0.6112858, 2.433117, 0.3849547, 0.4597807, 2.461484, 0.1922132, 0.3249398, 2.472817, 0.5478472, 0.3304131, 2.440102, 0.3725438, -0.2011269, 2.43849, 0.3754801, 0.1355628, 2.456345, 0.3814308, 0.3804241, 2.462353, 0.1883488, -0.2971512, 2.312397, 0.6363204, -0.229865, 2.275784, 0.1881508, -0.1417515, 2.390095, 0.6128933, -0.1142539, 2.339698
7, 1, 1, 63562201722844, 0, 0, 601388195527, -0.0924162033596691, 2.398744, 138.251.213.82, 0, 100, 0.2989502, -0.9469659, 2.43558, 0.5088648, -0.9397413, 2.439729, 0.1903738, 0.08069347, 2.468878, 0.6214873, 0.07476284, 2.444791, 0.2874748, -0.9975659, 2.359875, 0.5198046, -0.9985898, 2.366397, 0.2068544, -0.2366003, 2.34015, 0.5951898, -0.2309268, 2.314946, 0.2146875, -0.3094864, 2.318769, 0.5932288, -0.2971803, 2.293543, 0.4317119, 0.6199324, 2.458217, 0.3363825, -0.1779434, 2.417127, 0.4969847, -0.1800349, 2.401992, 0.3027744, -0.5932755, 2.417495, 0.5083483, -0.6024439, 2.418284, 0.4026138, 0.4546978, 2.480861, 0.2319268, 0.3297274, 2.484447, 0.5896394, 0.3239833, 2.45144, 0.4232753, -0.1818661, 2.448032, 0.4138308, 0.1415507, 2.471314, 0.4057652, 0.3778047, 2.480929, 0.1580227, -0.2465597, 2.342254, 0.5477228, -0.2312763, 2.308828, 0.1920181, -0.1531494, 2.371552, 0.6108681, -0.1567786, 2.342285
7, 1, 1, 63562201722844, 0, 1, 264804780154, -0.75161963098508, 2.096341, 138.251.207.136, 0, 100, 0.3616746, -0.960771, 2.478138, 0.5563335, -0.9507728, 2.463203, 0.1764171, 0.08604531, 2.464607, 0.622321, 0.1064301, 2.436188, 0.3460563, -1.038106, 2.404732, 0.5752543, -1.02493, 2.373311, 0.200839, -0.2332292, 2.355801, 0.5999534, -0.2020822, 2.298405, 0.2126331, -0.3036394, 2.335704, 0.5903982, -0.2703609, 2.265476, 0.3422152, 0.614959, 2.43078, 0.3220395, -0.2024612, 2.400386, 0.461749, -0.19351, 2.408852, 0.339433, -0.6167597, 2.454686, 0.5447113, -0.6110904, 2.432961, 0.3849929, 0.4597383, 2.461392, 0.1922167, 0.3249141, 2.472777, 0.5478537, 0.3304039, 2.440085, 0.3725423, -0.2011379, 2.438495, 0.3754871, 0.135543, 2.456324, 0.3814593, 0.380387, 2.462282, 0.18258, -0.2103999, 2.332132, 0.6366373, -0.2282644, 2.276005, 0.188326, -0.1418416, 2.390067, 0.6128936, -0.114477, 2.339656
7, 1, 1, 63562201722883, 0, 0, 601388854617, -0.0924162033596691, 2.398744, 138.251.213.82, 0, 100, 0.2990774, -0.9467483, 2.435592, 0.5089319, -0.9413281, 2.439988, 0.1905715, 0.08073004, 2.468768, 0.6214656, 0.07468666, 2.444384, 0.2875295, -0.9974393, 2.36004, 0.5199536, -0.9986141, 2.366441, 0.2064502, -0.2363145, 2.341244, 0.5944833, -0.2306509, 2.313895, 0.2136608, -0.3046466, 2.313136, 0.5937293, -0.2974874, 2.294563, 0.4316755, 0.6199675, 2.458105, 0.3364043, -0.1779327, 2.417252, 0.4968368, -0.1800499, 2.402114, 0.3027859, -0.5932941, 2.417511, 0.5083573, -0.6024673, 2.418265, 0.402613, 0.4547204, 2.480878, 0.2318467, 0.3298112, 2.484544, 0.5896869, 0.3239366, 2.45145, 0.4232297, -0.1818661, 2.448143, 0.4138175, 0.141567, 2.471364, 0.4057623, 0.3778253, 2.480951, 0.1578878, -0.2485517, 2.344663, 0.5468187, -0.2218711, 2.308485, 0.1921599, -0.1530547, 2.371283, 0.6108953, -0.1569334, 2.342072
7, 1, 1, 63562201722883, 0, 1, 264805110131, -0.75161963098508, 2.096341, 138.251.207.136, 0, 100, 0.3616872, -0.9608082, 2.478175, 0.5563656, -0.9508218, 2.463234, 0.1763453, 0.08587913, 2.464602, 0.6223399, 0.106462, 2.43618, 0.3457797, -1.038396, 2.405538, 0.575152, -1.024936, 2.37326, 0.2000732, -0.2327334, 2.357107, 0.600256, -0.2019498, 2.297878, 0.2114382, -0.304061, 2.336983, 0.5913386, -0.2707922, 2.266343, 0.3421917, 0.6149417, 2.430748, 0.3221142, -0.2024664, 2.400367, 0.4617603, -0.1934829, 2.408859, 0.3396529, -0.6170222, 2.454648, 0.5448923, -0.6109152, 2.432875, 0.3849735, 0.4597533, 2.461376, 0.1919951, 0.3247603, 2.47269, 0.5478423, 0.3304089, 2.440079, 0.3725708, -0.2011256, 2.438494, 0.3754885, 0.135551, 2.456318, 0.3814476, 0.3803991, 2.462269, 0.1807394, -0.2131896, 2.332589, 0.6260286, -0.2048868, 2.329497, 0.1883943, -0.1419815, 2.389985, 0.6129041, -0.1144547, 2.339673
