Study_Id, Kinect_Config, Scenario_Id, Tracker_Time, Person_Id, Skeleton_Id, Skeleton_Time, Skeleton_Init_Angle, Skeleton_Init_Dist, Kinect_Id, Kinect_Tilt_Angle, Kinect_Height, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
4, 2, 1, 63562195497812, 0, 0, 539139620175, 0.0076838290158251, 2.39117, 138.251.213.82, 0, 100, 0.2831245, -0.9718619, 2.405339, 0.488071, -0.9561092, 2.427613, 0.1079771, 0.06145313, 2.411818, 0.7105266, 0.04978636, 2.455268, 0.2474318, -1.0135, 2.30412, 0.5224014, -1.009846, 2.3209, -0.02580526, -0.1955001, 2.326441, 0.8388026, -0.1940904, 2.410133, -0.04216582, -0.2639, 2.299217, 0.860309, -0.2523482, 2.373817, 0.4264236, 0.609022, 2.420005, 0.3141279, -0.2101363, 2.389249, 0.4839586, -0.2131364, 2.383733, 0.300656, -0.6486443, 2.402695, 0.4888106, -0.6356862, 2.413456, 0.4003206, 0.4591261, 2.437, 0.2257405, 0.3243953, 2.432769, 0.5977942, 0.3081622, 2.434057, 0.4057548, -0.2151932, 2.426394, 0.4041761, 0.1276204, 2.438774, 0.4016879, 0.377786, 2.439947, -0.05821055, -0.1624215, 2.342079, 0.8457829, -0.1830152, 2.365559, -0.003187746, -0.1481888, 2.349955, 0.8249728, -0.1602505, 2.423387
4, 2, 1, 63562195497812, 0, 1, 202563222907, -1.03965354494246, 2.318323, 138.251.207.136, 0, 100, 0.2457533, -0.9451084, 2.566401, 0.4536131, -0.9543481, 2.507046, 0.2796378, 0.05576463, 2.350065, 0.6131303, 0.1002572, 2.386641, 0.2032448, -1.016182, 2.513035, 0.4468645, -1.00618, 2.434731, 0.3073759, -0.168738, 2.314042, 0.7282073, -0.2196648, 2.287747, 0.286649, -0.2046369, 2.296141, 0.7312236, -0.2727218, 2.274586, 0.2650907, 0.5927875, 2.422997, 0.2778473, -0.1750819, 2.407638, 0.3771188, -0.1615364, 2.414927, 0.1901834, -0.6098496, 2.512746, 0.4254399, -0.6042087, 2.483865, 0.3339294, 0.4820063, 2.465374, 0.1901133, 0.2971056, 2.42528, 0.4740667, 0.3268151, 2.431977, 0.2954285, -0.168668, 2.434675, 0.3094104, 0.1624885, 2.454014, 0.3258579, 0.4037492, 2.463954, 0.2893196, -0.1604055, 2.28387, 0.7342749, -0.1997127, 2.252869, 0.3324915, -0.1296091, 2.324668, 0.7052171, -0.1353787, 2.312286
4, 2, 1, 63562195497851, 0, 0, 539140290965, 0.0076838290158251, 2.39117, 138.251.213.82, 0, 100, 0.2831537, -0.9717126, 2.405247, 0.4881593, -0.9582929, 2.427869, 0.1076365, 0.06161635, 2.411895, 0.7106048, 0.04986715, 2.45545, 0.2474879, -1.01329, 2.304312, 0.5225633, -1.009761, 2.321167, -0.02710992, -0.1953506, 2.32883, 0.8401952, -0.1934268, 2.413179, -0.04402706, -0.264659, 2.299631, 0.8608643, -0.2546632, 2.383398, 0.4262971, 0.608867, 2.420619, 0.3141308, -0.2101238, 2.389296, 0.4839478, -0.2131301, 2.383804, 0.3005995, -0.6486565, 2.402758, 0.4887832, -0.6357116, 2.413542, 0.4002661, 0.4591355, 2.437096, 0.2257034, 0.324465, 2.43296, 0.5978612, 0.3081818, 2.434175, 0.405751, -0.2151822, 2.426462, 0.4041478, 0.1276312, 2.43887, 0.4016397, 0.3777958, 2.440045, -0.05919248, -0.166389, 2.342717, 0.850163, -0.1793769, 2.367799, -0.003364623, -0.1481068, 2.350011, 0.8253487, -0.1599989, 2.423538
4, 2, 1, 63562195497851, 0, 1, 202563552171, -1.03965354494246, 2.318323, 138.251.207.136, 0, 100, 0.245748, -0.9451074, 2.566379, 0.4538075, -0.9537747, 2.507357, 0.2798021, 0.05576687, 2.35013, 0.6132641, 0.1002641, 2.386636, 0.2026385, -1.016568, 2.515589, 0.4469289, -1.006153, 2.434685, 0.2882353, -0.1645315, 2.309781, 0.7265199, -0.2195545, 2.288933, 0.2818516, -0.2056488, 2.296626, 0.7300254, -0.2722185, 2.275622, 0.2650557, 0.5927191, 2.42307, 0.2783353, -0.1750982, 2.40815, 0.3787347, -0.1612412, 2.415127, 0.1870102, -0.6128765, 2.514392, 0.4255522, -0.6039937, 2.483918, 0.3339808, 0.48199, 2.465406, 0.1901521, 0.2970787, 2.425304, 0.4741256, 0.3267752, 2.431993, 0.2964377, -0.1685267, 2.43512, 0.3098253, 0.1625238, 2.454233, 0.3259776, 0.4037367, 2.464024, 0.2844416, -0.1980749, 2.279242, 0.7065492, -0.2201131, 2.254635, 0.2727239, -0.1297727, 2.30054, 0.7055011, -0.1353564, 2.312415
4, 2, 1, 63562195497881, 0, 0, 539140620079, 0.0076838290158251, 2.39117, 138.251.213.82, 0, 100, 0.2831796, -0.9715806, 2.405166, 0.4879611, -0.9578632, 2.427564, 0.1075982, 0.06154931, 2.411846, 0.7106708, 0.04981838, 2.455603, 0.2474902, -1.013303, 2.304261, 0.5225359, -1.009852, 2.321218, -0.02782425, -0.1958706, 2.329573, 0.8406217, -0.1942302, 2.413333, -0.04598215, -0.2632735, 2.30579, 0.8638979, -0.2549484, 2.381993, 0.4262194, 0.6088727, 2.420921, 0.314174, -0.210159, 2.38942, 0.4840015, -0.2130504, 2.384202, 0.3006149, -0.6486745, 2.402747, 0.488711, -0.6355911, 2.413865, 0.40013, 0.4592466, 2.437801, 0.2256936, 0.3244071, 2.433124, 0.597849, 0.3081865, 2.434267, 0.4058024, -0.215174, 2.426715, 0.4041266, 0.127682, 2.439349, 0.4015355, 0.3778904, 2.440694, -0.05943719, -0.1679984, 2.344333, 0.8464296, -0.1811912, 2.366937, -0.00378418, -0.1479833, 2.35001, 0.825777, -0.1598604, 2.423905
4, 2, 1, 63562195497881, 0, 1, 202563882800, -1.03965354494246, 2.318323, 138.251.207.136, 0, 100, 0.2456467, -0.9448376, 2.566457, 0.454069, -0.9544261, 2.507316, 0.2795127, 0.0556774, 2.350042, 0.6133637, 0.1002389, 2.386617, 0.2028812, -1.016771, 2.516181, 0.4466788, -1.006388, 2.434597, 0.3113252, -0.164592, 2.316389, 0.7273844, -0.2195253, 2.289247, 0.2965828, -0.2017374, 2.302135, 0.7302886, -0.2726685, 2.276289, 0.2656916, 0.5925764, 2.42354, 0.2791803, -0.1744672, 2.408489, 0.3801146, -0.1612132, 2.415198, 0.2924486, -0.6146247, 2.509763, 0.4257195, -0.6045831, 2.483994, 0.3342668, 0.4819945, 2.465752, 0.1903994, 0.2970515, 2.425614, 0.474252, 0.3267463, 2.432089, 0.2975911, -0.1681421, 2.435366, 0.3105174, 0.1626996, 2.454607, 0.3263686, 0.403779, 2.464395, 0.2886908, -0.1525369, 2.286004, 0.7178697, -0.2115519, 2.253937, 0.3411308, -0.1275918, 2.326401, 0.7056937, -0.1353444, 2.312383
4, 2, 1, 63562195497917, 0, 0, 539140950006, 0.0076838290158251, 2.39117, 138.251.213.82, 0, 100, 0.2830079, -0.97173, 2.405204, 0.4867565, -0.9590366, 2.428178, 0.1075412, 0.06152678, 2.411877, 0.7108772, 0.04997195, 2.456049, 0.2471515, -1.013252, 2.304296, 0.5241224, -1.010023, 2.322173, -0.02864587, -0.1958145, 2.327482, 0.8406142, -0.193541, 2.412704, -0.04580301, -0.2625962, 2.29709, 0.8638433, -0.2531412, 2.384935, 0.4261476, 0.6087361, 2.421202, 0.3141621, -0.2101648, 2.389498, 0.4840082, -0.2130421, 2.384202, 0.3005643, -0.6483484, 2.402534, 0.4887262, -0.6355971, 2.413917, 0.4001391, 0.4592823, 2.437841, 0.2256885, 0.3244177, 2.433136, 0.5978141, 0.3081573, 2.43436, 0.4058043, -0.2151685, 2.42674, 0.4041317, 0.1277025, 2.439391, 0.4015434, 0.3779224, 2.440737, -0.05941993, -0.1669207, 2.343941, 0.8545953, -0.1748065, 2.369556, -0.003992409, -0.1479176, 2.350009, 0.8261613, -0.1596258, 2.424582
4, 2, 1, 63562195497917, 0, 1, 202564222938, -1.03965354494246, 2.318323, 138.251.207.136, 0, 100, 0.2456744, -0.9447338, 2.566466, 0.4539929, -0.9544226, 2.507359, 0.2790873, 0.05561654, 2.350012, 0.6134567, 0.1002931, 2.386681, 0.2026769, -1.016776, 2.517143, 0.4469831, -1.006226, 2.434769, 0.3115786, -0.1650401, 2.317501, 0.7267579, -0.2198467, 2.289149, 0.2952238, -0.2013118, 2.303067, 0.7297319, -0.2720741, 2.276695, 0.2658987, 0.5926324, 2.423715, 0.2792647, -0.1745112, 2.408781, 0.3801657, -0.1611723, 2.415329, 0.1830039, -0.6274856, 2.519732, 0.4258733, -0.6048763, 2.484117, 0.3343064, 0.4820316, 2.465991, 0.190423, 0.2970653, 2.425831, 0.474246, 0.3267466, 2.432133, 0.2976824, -0.1681246, 2.435588, 0.310614, 0.1627419, 2.454881, 0.326433, 0.4038207, 2.464656, 0.2898321, -0.157213, 2.284747, 0.7207875, -0.2115977, 2.252958, 0.3408964, -0.1276277, 2.326699, 0.7059914, -0.135174, 2.312301
4, 2, 1, 63562195497955, 0, 0, 539141290840, 0.0076838290158251, 2.39117, 138.251.213.82, 0, 100, 0.2841455, -0.9707137, 2.4053, 0.4864143, -0.9550248, 2.428397, 0.1074539, 0.06157045, 2.411914, 0.7108701, 0.05004998, 2.456151, 0.2474879, -1.012822, 2.304826, 0.5234486, -1.009339, 2.321226, -0.02920371, -0.1953871, 2.328026, 0.84117, -0.1923245, 2.412812, -0.04796985, -0.261845, 2.29604, 0.864054, -0.2525405, 2.382205, 0.42614, 0.6086321, 2.421217, 0.3141892, -0.2101584, 2.38953, 0.4840623, -0.2129564, 2.384245, 0.3006731, -0.6479576, 2.402513, 0.4887223, -0.6352907, 2.414042, 0.4002085, 0.4592159, 2.438058, 0.2256902, 0.3244275, 2.433147, 0.5979652, 0.3082113, 2.434697, 0.4058436, -0.2151289, 2.426784, 0.4041838, 0.1277046, 2.439511, 0.4016084, 0.3778762, 2.440928, -0.05989856, -0.1673296, 2.345678, 0.8580311, -0.1772147, 2.3685, -0.004161626, -0.1478193, 2.349999, 0.8263803, -0.1594145, 2.424629
4, 2, 1, 63562195497955, 0, 1, 202564552180, -1.03965354494246, 2.318323, 138.251.207.136, 0, 100, 0.2459306, -0.944334, 2.56645, 0.4539868, -0.954495, 2.50735, 0.2796341, 0.05579549, 2.349831, 0.6137916, 0.1004801, 2.38659, 0.2030946, -1.016778, 2.517952, 0.4466414, -1.00649, 2.434578, 0.3032526, -0.1731918, 2.313514, 0.7279813, -0.2193673, 2.288734, 0.2750002, -0.2083714, 2.301836, 0.7301282, -0.2718378, 2.276317, 0.2658905, 0.5924422, 2.423683, 0.2807235, -0.168844, 2.40813, 0.3802435, -0.1611376, 2.415428, 0.1831215, -0.6264676, 2.519371, 0.4259154, -0.6049197, 2.484134, 0.3343393, 0.4820021, 2.466, 0.1904519, 0.2970248, 2.425837, 0.4742725, 0.326741, 2.432129, 0.2982704, -0.1664768, 2.435617, 0.3108425, 0.1631217, 2.454921, 0.3264831, 0.40383, 2.464668, 0.2870176, -0.1602148, 2.285585, 0.7380155, -0.2012744, 2.252371, 0.3235838, -0.1785073, 2.322967, 0.7066303, -0.1348738, 2.312196
